Date,"Discharge, cubic feet per second (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL"
9/21/2004,191.704736
9/22/2004,182.926528
9/23/2004,171.882976
9/24/2004,161.972096
9/25/2004,152.344384
9/26/2004,157.441408
9/27/2004,182.360192
9/28/2004,204.447296
9/29/2004,244.373984
9/30/2004,288.83136
10/1/2004,308.65312
10/2/2004,300.15808
10/3/2004,278.354144
10/4/2004,257.68288
10/5/2004,237.86112
10/6/2004,222.28688
10/7/2004,207.845312
10/8/2004,195.102752
10/9/2004,182.926528
10/10/2004,171.033472
10/11/2004,160.556256
10/12/2004,152.91072
10/13/2004,142.716672
10/14/2004,133.655296
10/15/2004,126.00976
10/16/2004,119.213728
10/17/2004,112.984032
10/18/2004,107.320672
10/19/2004,101.374144
10/20/2004,95.710784
10/21/2004,90.047424
10/22/2004,84.667232
10/23/2004,79.853376
10/24/2004,75.889024
10/25/2004,71.641504
10/26/2004,66.261312
10/27/2004,60.031616
10/28/2004,54.934592
10/29/2004,50.97024
10/30/2004,47.855392
10/31/2004,45.30688
11/1/2004,43.324704
11/2/2004,41.625696
11/3/2004,39.077184
11/4/2004,36.81184
11/5/2004,34.829664
11/6/2004,33.130656
11/7/2004,32.281152
11/8/2004,31.431648
11/9/2004,30.298976
11/10/2004,29.449472
11/11/2004,28.883136
11/12/2004,28.175216
11/13/2004,26.4478912
11/14/2004,24.352448
11/15/2004,22.65344
11/16/2004,21.662352
11/17/2004,21.0110656
11/18/2004,20.5013632
11/19/2004,20.0199776
11/20/2004,19.5669088
11/21/2004,19.0855232
11/22/2004,18.689088
11/23/2004,18.3209696
11/24/2004,18.0094848
11/25/2004,17.9528512
11/26/2004,17.8112672
11/27/2004,18.0944352
11/28/2004,18.7457216
11/29/2004,18.547504
11/30/2004,18.1793856
12/1/2004,17.6696832
12/2/2004,16.848496
12/3/2004,16.28216
12/4/2004,15.857408
12/5/2004,15.3760224
12/6/2004,15.0928544
12/7/2004,14.8946368
12/8/2004,14.6681024
12/9/2004,14.4698848
12/10/2004,14.3849344
12/11/2004,14.2150336
12/12/2004,14.1017664
12/13/2004,13.8185984
12/14/2004,13.3938464
12/15/2004,12.9124608
12/16/2004,12.6576096
12/17/2004,12.4877088
12/18/2004,12.5160256
12/19/2004,12.3461248
12/20/2004,12.0629568
12/21/2004,11.4399872
12/22/2004,10.8453344
12/23/2004,10.3922656
12/24/2004,10.1374144
12/25/2004,11.6948384
12/26/2004,24.7205664
12/27/2004,39.926688
12/28/2004,43.324704
12/29/2004,39.64352
12/30/2004,34.546496
12/31/2004,30.582144
1/1/2005,27.467296
1/2/2005,25.0886848
1/3/2005,23.1631424
1/4/2005,21.4641344
1/5/2005,20.0199776
1/6/2005,18.6607712
1/7/2005,17.414832
1/8/2005,16.6785952
1/9/2005,16.2255264
1/10/2005,16.0556256
1/11/2005,15.9706752
1/12/2005,15.857408
1/13/2005,15.6308736
1/14/2005,17.0750304
1/15/2005,26.7310592
1/16/2005,41.342528
1/17/2005,44.740544
1/18/2005,42.192032
1/19/2005,39.360352
1/20/2005,37.661344
1/21/2005,35.962336
1/22/2005,34.546496
1/23/2005,32.56432
1/24/2005,30.582144
1/25/2005,29.166304
1/26/2005,28.0053152
1/27/2005,26.9292768
1/28/2005,25.7966048
1/29/2005,23.8710624
1/30/2005,21.4358176
1/31/2005,19.6518592
2/1/2005,18.689088
2/2/2005,18.1510688
2/3/2005,17.4997824
2/4/2005,17.0750304
2/5/2005,16.706912
2/6/2005,16.2538432
2/7/2005,15.7441408
2/8/2005,15.2627552
2/9/2005,14.8380032
2/10/2005,14.2716672
2/11/2005,13.733648
2/12/2005,13.0823616
2/13/2005,12.6292928
2/14/2005,12.2894912
2/15/2005,12.0912736
2/16/2005,11.9496896
2/17/2005,11.7797888
2/18/2005,11.4966208
2/19/2005,10.9869184
2/20/2005,10.3639488
2/21/2005,9.769296
2/22/2005,9.2595936
2/23/2005,8.8914752
2/24/2005,8.6083072
2/25/2005,8.353456
2/26/2005,8.1835552
2/27/2005,10.760384
2/28/2005,23.36136
3/1/2005,49.271232
3/2/2005,72.20784
3/3/2005,92.312768
3/4/2005,105.621664
3/5/2005,111.85136
3/6/2005,109.586016
3/7/2005,98.259296
3/8/2005,82.11872
3/9/2005,65.978144
3/10/2005,56.350432
3/11/2005,51.253408
3/12/2005,47.855392
3/13/2005,42.192032
3/14/2005,35.112832
3/15/2005,29.166304
3/16/2005,25.4284864
3/17/2005,29.73264
3/18/2005,62.013792
3/19/2005,89.481088
3/20/2005,105.055328
3/21/2005,110.43552
3/22/2005,108.736512
3/23/2005,102.223648
3/24/2005,94.011776
3/25/2005,86.36624
3/26/2005,79.570208
3/27/2005,73.62368
3/28/2005,67.393984
3/29/2005,60.88112
3/30/2005,54.651424
3/31/2005,48.988064
4/1/2005,44.174208
4/2/2005,40.776192
4/3/2005,38.22768
4/4/2005,35.112832
4/5/2005,30.298976
4/6/2005,26.051456
4/7/2005,23.3047264
4/8/2005,22.4835392
4/9/2005,21.520768
4/10/2005,20.3314624
4/11/2005,19.0855232
4/12/2005,17.7263168
4/13/2005,16.99008
4/14/2005,16.5086944
4/15/2005,15.998992
4/16/2005,15.1778048
4/17/2005,14.3283008
4/18/2005,13.7619648
4/19/2005,12.600976
4/20/2005,11.32672
4/21/2005,10.4488992
4/22/2005,9.9675136
4/23/2005,9.6560288
4/24/2005,9.1746432
4/25/2005,8.8631584
4/26/2005,8.8914752
4/27/2005,10.3639488
4/28/2005,12.2328576
4/29/2005,12.7991936
4/30/2005,11.8647392
5/1/2005,11.7797888
5/2/2005,12.5443424
5/3/2005,13.6486976
5/4/2005,26.617792
5/5/2005,52.38608
5/6/2005,57.483104
5/7/2005,51.536576
5/8/2005,42.192032
5/9/2005,35.112832
5/10/2005,31.431648
5/11/2005,29.166304
5/12/2005,27.467296
5/13/2005,26.3629408
5/14/2005,26.1647232
5/15/2005,23.8710624
5/16/2005,20.6429472
5/17/2005,19.1421568
5/18/2005,17.6130496
5/19/2005,16.3671104
5/20/2005,14.3283008
5/21/2005,12.5443424
5/22/2005,11.2984032
5/23/2005,10.5621664
5/24/2005,9.9675136
5/25/2005,9.3162272
5/26/2005,8.8631584
5/27/2005,9.0047424
5/28/2005,9.1180096
5/29/2005,9.5144448
5/30/2005,9.4578112
5/31/2005,9.4578112
6/1/2005,16.1972096
6/2/2005,35.679168
6/3/2005,62.580128
6/4/2005,87.498912
6/5/2005,123.744416
6/6/2005,150.362208
6/7/2005,156.875072
6/8/2005,161.972096
6/9/2005,167.352288
6/10/2005,169.617632
6/11/2005,170.467136
6/12/2005,171.882976
6/13/2005,181.793856
6/14/2005,178.112672
6/15/2005,178.962176
6/16/2005,180.094848
6/17/2005,178.679008
6/18/2005,173.298816
6/19/2005,164.520608
6/20/2005,152.344384
6/21/2005,139.601824
6/22/2005,122.894912
6/23/2005,107.037504
6/24/2005,100.241472
6/25/2005,103.35632
6/26/2005,107.60384
6/27/2005,106.754336
6/28/2005,109.586016
6/29/2005,117.231552
6/30/2005,128.84144
7/1/2005,134.5048
7/2/2005,139.318656
7/3/2005,141.017664
7/4/2005,144.41568
7/5/2005,148.6632
7/6/2005,152.91072
7/7/2005,154.892896
7/8/2005,153.760224
7/9/2005,160.556256
7/10/2005,165.65328
7/11/2005,163.387936
7/12/2005,162.538432
7/13/2005,163.104768
7/14/2005,160.556256
7/15/2005,155.7424
7/16/2005,151.778048
7/17/2005,148.096864
7/18/2005,143.566176
7/19/2005,137.902816
7/20/2005,132.239456
7/21/2005,126.00976
7/22/2005,118.93056
7/23/2005,111.85136
7/24/2005,105.055328
7/25/2005,98.542464
7/26/2005,91.463264
7/27/2005,89.19792
7/28/2005,88.348416
7/29/2005,81.552384
7/30/2005,72.20784
7/31/2005,63.429632
8/1/2005,75.889024
8/2/2005,75.889024
8/3/2005,69.942496
8/4/2005,65.978144
8/5/2005,67.677152
8/6/2005,72.774176
8/7/2005,73.340512
8/8/2005,77.8712
8/9/2005,83.817728
8/10/2005,86.083072
8/11/2005,86.083072
8/12/2005,82.685056
8/13/2005,77.588032
8/14/2005,73.906848
8/15/2005,69.37616
8/16/2005,64.279136
8/17/2005,60.031616
8/18/2005,58.898944
8/19/2005,58.898944
8/20/2005,58.898944
8/21/2005,57.483104
8/22/2005,57.483104
8/23/2005,63.146464
8/24/2005,69.37616
8/25/2005,67.677152
8/26/2005,60.031616
8/27/2005,53.518752
8/28/2005,53.80192
8/29/2005,52.952416
8/30/2005,50.120736
8/31/2005,49.5544
9/1/2005,51.253408
9/2/2005,54.368256
9/3/2005,56.067264
9/4/2005,63.995968
9/5/2005,71.358336
9/6/2005,69.37616
9/7/2005,59.748448
9/8/2005,50.97024
9/9/2005,45.873216
9/10/2005,42.758368
9/11/2005,40.776192
9/12/2005,38.510848
9/13/2005,35.679168
9/14/2005,32.847488
9/15/2005,30.298976
9/16/2005,28.1468992
9/17/2005,25.2302688
9/18/2005,22.1437376
9/19/2005,19.680176
9/20/2005,17.8679008
9/21/2005,16.7352288
9/22/2005,16.8768128
9/23/2005,18.7174048
9/24/2005,18.5758208
9/25/2005,17.3865152
9/26/2005,16.8201792
9/27/2005,23.1065088
9/28/2005,27.6938304
9/29/2005,29.73264
9/30/2005,38.22768
10/1/2005,36.245504
10/2/2005,30.015808
10/3/2005,27.042544
10/4/2005,25.5983872
10/5/2005,23.9560128
10/6/2005,22.8799744
10/7/2005,25.8249216
10/8/2005,35.396
10/9/2005,36.528672
10/10/2005,33.98016
10/11/2005,30.015808
10/12/2005,25.8532384
10/13/2005,23.0498752
10/14/2005,20.8694816
10/15/2005,19.397008
10/16/2005,18.1793856
10/17/2005,16.99008
10/18/2005,15.9706752
10/19/2005,15.0645376
10/20/2005,14.3849344
10/21/2005,14.8946368
10/22/2005,19.2271072
10/23/2005,18.972256
10/24/2005,54.651424
10/25/2005,130.540448
10/26/2005,147.530528
10/27/2005,149.795872
10/28/2005,145.548352
10/29/2005,137.053312
10/30/2005,126.859264
10/31/2005,114.966208
11/1/2005,103.35632
11/2/2005,99.1088
11/3/2005,95.993952
11/4/2005,90.896928
11/5/2005,82.685056
11/6/2005,73.62368
11/7/2005,64.845472
11/8/2005,57.766272
11/9/2005,52.669248
11/10/2005,48.704896
11/11/2005,44.174208
11/12/2005,39.077184
11/13/2005,33.696992
11/14/2005,29.73264
11/15/2005,27.1558112
11/16/2005,25.626704
11/17/2005,24.494032
11/18/2005,23.6162112
11/19/2005,22.6817568
11/20/2005,21.7756192
11/21/2005,21.2376
11/22/2005,20.7278976
11/23/2005,20.104928
11/24/2005,19.6235424
11/25/2005,19.11384
11/26/2005,18.5191872
11/27/2005,17.7546336
11/28/2005,16.9051296
11/29/2005,17.8679008
11/30/2005,21.7473024
12/1/2005,23.078192
12/2/2005,21.096016
12/3/2005,19.5952256
12/4/2005,18.830672
12/5/2005,18.1510688
12/6/2005,17.6130496
12/7/2005,17.2166144
12/8/2005,16.9334464
12/9/2005,17.5847328
12/10/2005,18.8589888
12/11/2005,18.8873056
12/12/2005,18.6041376
12/13/2005,18.1793856
12/14/2005,18.0094848
12/15/2005,17.7546336
12/16/2005,17.273248
12/17/2005,16.706912
12/18/2005,16.28216
12/19/2005,16.2255264
12/20/2005,16.7352288
12/21/2005,16.7918624
12/22/2005,16.6785952
12/23/2005,16.3387936
12/24/2005,16.2255264
12/25/2005,16.3954272
12/26/2005,16.2538432
12/27/2005,15.8290912
12/28/2005,15.149488
12/29/2005,14.6964192
12/30/2005,14.1300832
12/31/2005,13.7053312
1/1/2006,13.3372128
1/2/2006,12.9690944
1/3/2006,12.5443424
1/4/2006,12.0063232
1/5/2006,11.5815712
1/6/2006,11.0718688
1/7/2006,10.8453344
1/8/2006,10.7320672
1/9/2006,10.5904832
1/10/2006,10.4205824
1/11/2006,10.3073152
1/12/2006,10.3922656
1/13/2006,10.2506816
1/14/2006,10.1657312
1/15/2006,9.91088
1/16/2006,9.486128
1/17/2006,9.1746432
1/18/2006,9.486128
1/19/2006,9.6560288
1/20/2006,9.486128
1/21/2006,9.1463264
1/22/2006,8.5516736
1/23/2006,8.1552384
1/24/2006,8.070288
1/25/2006,7.9570208
1/26/2006,7.8437536
1/27/2006,7.78712
1/28/2006,7.645536
1/29/2006,7.4190016
1/30/2006,7.3906848
1/31/2006,7.3057344
2/1/2006,7.1924672
2/2/2006,6.9092992
2/3/2006,6.8809824
2/4/2006,13.733648
2/5/2006,36.245504
2/6/2006,44.740544
2/7/2006,38.22768
2/8/2006,32.281152
2/9/2006,29.449472
2/10/2006,27.325712
2/11/2006,25.1170016
2/12/2006,23.3330432
2/13/2006,21.7189856
2/14/2006,19.6518592
2/15/2006,17.8112672
2/16/2006,16.7635456
2/17/2006,15.9423584
2/18/2006,14.8096864
2/19/2006,13.6486976
2/20/2006,12.6292928
2/21/2006,11.9213728
2/22/2006,11.3833536
2/23/2006,10.8736512
2/24/2006,10.4205824
2/25/2006,10.2506816
2/26/2006,10.5621664
2/27/2006,10.8170176
2/28/2006,10.6471168
3/1/2006,10.1090976
3/2/2006,9.4578112
3/3/2006,8.9481088
3/4/2006,8.4667232
3/5/2006,8.3251392
3/6/2006,8.7215744
3/7/2006,8.8631584
3/8/2006,8.778208
3/9/2006,8.0419712
3/10/2006,6.796032
3/11/2006,6.2013792
3/12/2006,5.8898944
3/13/2006,5.6350432
3/14/2006,5.3518752
3/15/2006,5.0687072
3/16/2006,4.8421728
3/17/2006,4.5873216
3/18/2006,4.3324704
3/19/2006,4.0493024
3/20/2006,3.822768
3/21/2006,3.6528672
3/22/2006,3.4546496
3/23/2006,3.4263328
3/24/2006,3.7661344
3/25/2006,3.7944512
3/26/2006,3.8510848
3/27/2006,3.5396
3/28/2006,3.2281152
3/29/2006,2.973264
3/30/2006,2.77221472
3/31/2006,2.5909872
4/1/2006,2.46072992
4/2/2006,2.336136
4/3/2006,2.22853216
4/4/2006,2.16057184
4/5/2006,2.15490848
4/6/2006,2.2370272
4/7/2006,2.21437376
4/8/2006,2.14924512
4/9/2006,2.09261152
4/10/2006,1.97934432
4/11/2006,1.87174048
4/12/2006,1.81793856
4/13/2006,1.75847328
4/14/2006,1.69334464
4/15/2006,1.66502784
4/16/2006,1.62255264
4/17/2006,1.56875072
4/18/2006,1.51211712
4/19/2006,1.45548352
4/20/2006,1.39318656
4/21/2006,1.33938464
4/22/2006,1.31106784
4/23/2006,1.274256
4/24/2006,1.29690944
4/25/2006,1.23461248
4/26/2006,1.20629568
4/27/2006,1.18364224
4/28/2006,1.14966208
4/29/2006,1.1609888
4/30/2006,1.12700864
5/1/2006,1.06754336
5/2/2006,1.00807808
5/3/2006,0.97409792
5/4/2006,0.95427616
5/5/2006,0.92595936
5/6/2006,0.90047424
5/7/2006,0.8636624
5/8/2006,0.84667232
5/9/2006,0.90047424
5/10/2006,0.94011776
5/11/2006,0.9769296
5/12/2006,0.97976128
5/13/2006,1.01657312
5/14/2006,0.97126624
5/15/2006,0.88914752
5/16/2006,0.89481088
5/17/2006,0.95710784
5/18/2006,0.93728608
5/19/2006,0.95710784
5/20/2006,1.0052464
5/21/2006,1.00807808
5/22/2006,0.94294944
5/23/2006,0.93728608
5/24/2006,0.92879104
5/25/2006,0.91180096
5/26/2006,1.19780064
5/27/2006,1.47813696
5/28/2006,1.24027584
5/29/2006,1.25160256
5/30/2006,1.203464
5/31/2006,1.09869184
6/1/2006,0.99675136
6/2/2006,1.01090976
6/3/2006,1.00807808
6/4/2006,0.9769296
6/5/2006,0.97409792
6/6/2006,0.95427616
6/7/2006,0.89481088
6/8/2006,0.8778208
6/9/2006,0.89481088
6/10/2006,0.88914752
6/11/2006,0.91180096
6/12/2006,1.27708768
6/13/2006,1.90572064
6/14/2006,3.7095008
6/15/2006,5.7199936
6/16/2006,5.6067264
6/17/2006,5.0687072
6/18/2006,4.4457376
6/19/2006,3.964352
6/20/2006,3.9077184
6/21/2006,3.4263328
6/22/2006,2.9449472
6/23/2006,2.57116544
6/24/2006,2.4352448
6/25/2006,2.74106624
6/26/2006,3.3696992
6/27/2006,3.8794016
6/28/2006,3.6245504
6/29/2006,3.5962336
6/30/2006,3.2847488
7/1/2006,2.9166304
7/2/2006,2.619304
7/3/2006,2.72690784
7/4/2006,2.9449472
7/5/2006,3.0298976
7/6/2006,2.65045248
7/7/2006,2.79486816
7/8/2006,4.0209856
7/9/2006,4.5873216
7/10/2006,4.5873216
7/11/2006,4.5590048
7/12/2006,4.95544
7/13/2006,15.2061216
7/14/2006,18.6607712
7/15/2006,18.9156224
7/16/2006,15.9423584
7/17/2006,11.7231552
7/18/2006,9.2595936
7/19/2006,8.070288
7/20/2006,8.0986048
7/21/2006,17.6696832
7/22/2006,24.7488832
7/23/2006,24.0126464
7/24/2006,18.7740384
7/25/2006,16.140576
7/26/2006,14.7530528
7/27/2006,13.45048
7/28/2006,13.025728
7/29/2006,12.7708768
7/30/2006,12.3744416
7/31/2006,11.8364224
8/1/2006,11.043552
8/2/2006,9.4294944
8/3/2006,8.5233568
8/4/2006,7.9003872
8/5/2006,6.8243488
8/6/2006,6.5978144
8/7/2006,6.654448
8/8/2006,6.5411808
8/9/2006,6.9942496
8/10/2006,7.3340512
8/11/2006,6.2013792
8/12/2006,5.2952416
8/13/2006,4.95544
8/14/2006,4.4457376
8/15/2006,4.105936
8/16/2006,4.1908864
8/17/2006,10.9869184
8/18/2006,11.8364224
8/19/2006,15.8290912
8/20/2006,15.0645376
8/21/2006,12.459392
8/22/2006,11.043552
8/23/2006,9.5427616
8/24/2006,10.7037504
8/25/2006,11.9496896
8/26/2006,15.715824
8/27/2006,19.5952256
8/28/2006,20.5579968
8/29/2006,22.370272
8/30/2006,24.1259136
8/31/2006,31.997984
9/1/2006,41.625696
9/2/2006,45.590048
9/3/2006,50.120736
9/4/2006,59.182112
9/5/2006,63.7128
9/6/2006,65.694976
9/7/2006,63.146464
9/8/2006,58.615776
9/9/2006,54.085088
9/10/2006,49.5544
9/11/2006,55.21776
9/12/2006,77.304864
9/13/2006,98.259296
9/14/2006,103.35632
9/15/2006,93.162272
9/16/2006,75.03952
9/17/2006,65.12864
9/18/2006,62.863296
9/19/2006,54.651424
9/20/2006,47.005888
9/21/2006,49.837568
9/22/2006,54.368256
9/23/2006,50.97024
9/24/2006,42.4752
9/25/2006,33.98016
9/26/2006,27.467296
9/27/2006,23.3896768
9/28/2006,20.8411648
9/29/2006,18.8589888
9/30/2006,16.8201792
10/1/2006,15.1211712
10/2/2006,13.733648
10/3/2006,12.5160256
10/4/2006,11.4116704
10/5/2006,10.5055328
10/6/2006,9.7976128
10/7/2006,9.1463264
10/8/2006,8.6649408
10/9/2006,8.211872
10/10/2006,7.78712
10/11/2006,7.3340512
10/12/2006,6.9942496
10/13/2006,6.7677152
10/14/2006,6.5694976
10/15/2006,6.3146464
10/16/2006,6.088112
10/17/2006,5.9182112
10/18/2006,5.7483104
10/19/2006,5.5500928
10/20/2006,5.2669248
10/21/2006,5.0687072
10/22/2006,5.0403904
10/23/2006,5.0403904
10/24/2006,4.7289056
10/25/2006,4.3041536
10/26/2006,4.0776192
10/27/2006,3.9077184
10/28/2006,4.7289056
10/29/2006,5.4085088
10/30/2006,5.4651424
10/31/2006,5.097024
11/1/2006,4.813856
11/2/2006,4.6156384
11/3/2006,4.4457376
11/4/2006,4.0776192
11/5/2006,3.7944512
11/6/2006,3.5962336
11/7/2006,3.4829664
11/8/2006,3.398016
11/9/2006,3.3130656
11/10/2006,3.256432
11/11/2006,3.2281152
11/12/2006,3.114848
11/13/2006,3.0015808
11/14/2006,2.973264
11/15/2006,2.8883136
11/16/2006,3.1431648
11/17/2006,3.2281152
11/18/2006,3.398016
11/19/2006,3.2281152
11/20/2006,3.0865312
11/21/2006,2.9449472
11/22/2006,2.83168
11/23/2006,2.77787808
11/24/2006,2.74106624
11/25/2006,2.68726432
11/26/2006,2.6051456
11/27/2006,2.5626704
11/28/2006,2.55417536
11/29/2006,2.52302688
11/30/2006,2.52869024
12/1/2006,2.548512
12/2/2006,2.55134368
12/3/2006,2.49471008
12/4/2006,2.44657152
12/5/2006,2.40409632
12/6/2006,2.37577952
12/7/2006,2.35878944
12/8/2006,2.2936608
12/9/2006,2.2370272
12/10/2006,2.22003712
12/11/2006,2.19172032
12/12/2006,2.18322528
12/13/2006,2.1803936
12/14/2006,2.25684896
12/15/2006,2.42391808
12/16/2006,3.5112832
12/17/2006,4.105936
12/18/2006,3.7661344
12/19/2006,3.7661344
12/20/2006,3.5679168
12/21/2006,3.4263328
12/22/2006,3.2847488
12/23/2006,3.4546496
12/24/2006,3.681184
12/25/2006,4.5873216
12/26/2006,5.804944
12/27/2006,8.5516736
12/28/2006,8.3817728
12/29/2006,7.4756352
12/30/2006,6.937616
12/31/2006,6.5694976
1/1/2007,6.4845472
1/2/2007,6.6261312
1/3/2007,6.654448
1/4/2007,6.5694976
1/5/2007,6.2580128
1/6/2007,6.1164288
1/7/2007,5.9748448
1/8/2007,5.804944
