Date,Average of uwind0,Average of uwind1,Average of uwind2,Average of uwind3,Average of uwind4,Average of uwind5,Average of uwind6,Average of uwind7,Average of uwind8,Average of uwind9,Average of uwind10,Average of uwind11,Average of uwind12,Average of uwind13,Average of uwind14,Average of uwind15,Average of uwind16,Average of uwind17,Average of uwind18,Average of uwind19,Average of uwind20,Average of uwind21,Average of uwind22,Average of uwind23,Average of uwind24,Average of uwind25,Average of uwind26,Average of uwind27,Average of uwind28,Average of uwind29,Average of uwind30,Average of uwind31,Average of uwind32,Average of uwind33,Average of uwind34,Average of uwind35
1/24/2004,0.710416671,0.607500009,0.546666663,0.553333331,0.869583332,0.734583335,0.570416668,0.612083339,1.219583328,0.967083332,0.611666673,0.604166662,1.701666668,1.329166656,0.850416667,0.686250002,1.753750006,1.646249987,1.266666658,0.970000001,1.758750002,1.84208334,1.579583332,1.391250002,1.897499988,1.912500009,1.775416667,1.676666662,2.163749998,2.030833334,1.884583354,1.880416657,2.55916667,2.206250017,1.889166653,1.866666675
1/25/2004,-2.168181814,-1.91227272,-1.75863637,-1.714090918,-2.052727257,-1.841363645,-1.655000021,-1.605909092,-1.950454556,-1.733181823,-1.506818173,-1.42681818,-1.860909096,-1.637272721,-1.398181817,-1.214999994,-1.76272727,-1.639090909,-1.340000004,-0.990000005,-1.73545454,-1.719999993,-1.347272727,-0.947272731,-1.657727271,-1.594090909,-1.287272728,-1.019090899,-1.415909102,-1.2740909,-1.084999998,-0.961363638,-1.241818183,-1.051818193,-0.900909108,-0.852727266
1/26/2004,-1.322857137,-1.083809516,-0.920952383,-0.876190491,-1.294761913,-1.055238102,-0.825714274,-0.739523827,-1.165238091,-0.912380956,-0.663333329,-0.523333344,-1.000952372,-0.761428579,-0.517142825,-0.280952372,-0.889999983,-0.724285713,-0.38380951,0.039047622,-0.923809518,-0.804761889,-0.348571451,0.161428571,-0.90285715,-0.64095236,-0.201428558,0.152380938,-0.649523817,-0.256666666,0.126190472,0.304761923,-0.511428558,-0.02428572,0.359523802,0.367142845
1/27/2004,2.600454547,2.505454539,2.43499999,2.416363652,2.550000033,2.490909142,2.399999982,2.57863638,2.934999994,2.727272716,2.355454545,2.587272757,3.575909063,3.169545462,2.639999979,2.725454492,3.61227276,3.644999997,3.423181799,3.411818182,3.450454556,3.863636368,3.940454552,4.145454549,3.419090908,3.9027273,4.100909068,4.210909063,3.707272738,4.054090909,4.249545455,4.315909082,4.117727277,4.257727287,4.329999967,4.319090914
1/28/2004,1.968500029,1.80950001,1.67499999,1.626999997,1.989499998,1.798499996,1.572499989,1.592499987,2.239500002,1.91649998,1.474999977,1.452500004,2.640499996,2.180499982,1.629500003,1.515999998,2.622,2.533499998,2.176500006,1.94149999,2.560499993,2.746499994,2.566499991,2.452499988,2.594999983,2.699499975,2.582999994,2.46749999,2.752000013,2.651000025,2.491000054,2.434500015,3.085499999,2.752000007,2.468999995,2.532000042
1/29/2004,-3.175238115,-2.777619038,-2.516666679,-2.447619029,-3.020000009,-2.671428612,-2.356190466,-2.229999991,-2.830952363,-2.47428573,-2.110000023,-1.901428589,-2.639047621,-2.283809506,-1.90428571,-1.528095229,-2.486190491,-2.245238104,-1.712380957,-1.059047605,-2.54809523,-2.378571436,-1.673809527,-0.920476194,-2.570476169,-2.250952393,-1.661904781,-1.193809518,-2.268571438,-1.836666672,-1.411428573,-1.222857142,-2.067142863,-1.524285705,-1.07238095,-0.946666674
1/30/2004,-1.617142865,-1.492380937,-1.422380938,-1.39857142,-1.534761903,-1.429047624,-1.363809515,-1.244761904,-1.269047614,-1.24476191,-1.299523819,-1.130952378,-0.887142844,-0.96238095,-1.079047616,-0.876666665,-0.806190471,-0.696666675,-0.571428569,-0.27761905,-0.930952383,-0.641904757,-0.27666666,0.162380949,-1.010476185,-0.62714286,-0.288571431,-0.05380952,-0.813809528,-0.472380956,-0.218095237,-0.136666663,-0.582380952,-0.272380955,-0.013333332,0.110476191
1/31/2004,-5.634782615,-5.09652174,-4.774347855,-4.675217411,-5.230869542,-4.833913088,-4.544347805,-4.281304297,-4.53913048,-4.300869548,-4.195217423,-3.835652206,-3.659130413,-3.597391294,-3.652608695,-3.332173938,-3.369130414,-3.178695642,-2.956521755,-2.494347816,-3.558260861,-3.120000005,-2.559565238,-1.872173918,-3.634347822,-3.000869544,-2.429565256,-2.01608698,-3.130869573,-2.566521755,-2.134347845,-1.952173924,-2.568260881,-2.126086973,-1.786521743,-1.671739144
2/1/2004,-2.120000012,-1.737727283,-1.516363627,-1.490454548,-2.211818156,-1.815909106,-1.449090916,-1.329090896,-2.127727271,-1.722727292,-1.334545457,-1.101818159,-1.970454564,-1.601818176,-1.255909083,-0.96909092,-1.866818177,-1.632727292,-1.262272701,-0.850909092,-2.171363655,-1.752727267,-1.323636375,-0.919545467,-2.646363619,-1.947727254,-1.574090934,-1.387272726,-2.905909102,-2.193636371,-1.72727274,-1.706818177,-3.179545468,-2.40318186,-1.778181809,-1.736363649
2/2/2004,0.990500004,1.403000006,1.594499998,1.62299999,1.151500014,1.434499987,1.665500014,1.566,0.928000017,1.266499985,1.703500014,1.609499987,0.511500004,0.966999973,1.517000002,1.65700001,0.515500008,0.643000004,1.075999979,1.429500018,0.501999998,0.423499986,0.739999999,0.957000001,0.305000006,0.262999984,0.385999996,0.460499979,-0.142500016,-0.021500015,0.108499986,0.064999977,-0.734499977,-0.332499994,0.047000001,0.126499989
2/3/2004,-0.85636364,-0.480909089,-0.310000001,-0.287727267,-0.66727273,-0.418636365,-0.249545463,-0.216818189,-0.451363634,-0.275909088,-0.142272718,-0.09772728,-0.199090901,-0.08136364,0.005909093,0.136818174,-0.079999995,0.020454548,0.215454554,0.495454557,-0.120909099,-0.00090908,0.316818186,0.690909091,-0.098181824,0.129090915,0.448636364,0.706818183,0.177727266,0.45181818,0.704090909,0.834545457,0.414999993,0.71818182,0.964545454,1.021363649
2/4/2004,-2.669130421,-2.351739136,-2.203043483,-2.160434811,-2.427391302,-2.213478275,-2.071739139,-2.029130436,-2.203913021,-2.059130435,-1.948695675,-1.893478244,-1.962608703,-1.86434782,-1.838260881,-1.911304341,-1.850434799,-1.856521752,-1.946956511,-2.083478267,-1.936956527,-1.850434779,-2.003913038,-2.151304324,-2.038260891,-1.820000002,-1.845217398,-1.886956514,-1.976086951,-1.790000012,-1.696956531,-1.678260864,-1.884347825,-1.757391304,-1.676956527,-1.760869559
2/5/2004,-5.932499957,-5.487499964,-5.217999971,-5.129500031,-5.620999968,-5.284500003,-4.9995,-4.93799994,-5.33500005,-5.00799998,-4.673000014,-4.603499961,-5.071000016,-4.742500031,-4.470499992,-4.493000007,-4.873500037,-4.824999976,-4.74800005,-4.744500017,-4.900500011,-4.899999964,-4.929999959,-4.994500041,-4.94849999,-4.899999976,-4.913499987,-4.925500023,-4.874500048,-4.867999959,-4.880000031,-4.872999978,-4.764000022,-4.825,-4.888499999,-4.916499984
2/6/2004,-4.120434784,-3.745652136,-3.49304346,-3.413043477,-3.93869562,-3.609999987,-3.305652166,-3.206956555,-3.696521766,-3.3526087,-3.005217395,-2.863913035,-3.442608691,-3.102608711,-2.786086905,-2.640434794,-3.262173885,-3.123478242,-2.853913101,-2.573043467,-3.28652175,-3.220000005,-2.935652173,-2.636521759,-3.281739153,-3.116086924,-2.846521766,-2.623478226,-3.050000052,-2.840869574,-2.633043502,-2.517826127,-2.86043478,-2.643043509,-2.479565202,-2.471739144
2/7/2004,3.307272691,3.10045452,2.956363643,2.931363653,3.350909127,3.141363636,2.90772729,2.922272762,3.522727257,3.205454533,2.798636359,2.774999987,3.799090914,3.380454529,2.89454543,2.765454531,3.767272716,3.659999977,3.328181841,3.086363641,3.788636363,3.844545511,3.644090885,3.525909093,3.932272719,3.940454548,3.863181835,3.814090913,4.118636337,4.07227268,4.022272728,4.040454572,4.354545479,4.20545461,4.06318178,4.014545452
2/8/2004,-1.143809506,-1.10047615,-1.08190477,-1.084285733,-1.077619019,-1.070476162,-1.078095227,-1.057142874,-0.96095239,-0.985714287,-1.033809546,-1.016666664,-0.814761886,-0.869047602,-0.92714287,-0.836666681,-0.79000005,-0.744285697,-0.664285719,-0.493809542,-0.811428538,-0.720952363,-0.516190483,-0.272380922,-0.785714286,-0.708095218,-0.557142848,-0.438095236,-0.619523784,-0.589047648,-0.555714244,-0.524285705,-0.408571448,-0.424285679,-0.425238096,-0.305714279
2/9/2004,-4.482857108,-3.888095243,-3.52952381,-3.430952396,-4.156666688,-3.689523799,-3.294285695,-3.16714284,-3.850952353,-3.403333357,-2.956666685,-2.754285727,-3.555714289,-3.120000022,-2.688095269,-2.391428567,-3.342380949,-3.105238114,-2.60571427,-2.022857132,-3.46142858,-3.247619073,-2.629523791,-1.960952373,-3.57238094,-3.093333341,-2.500000031,-2.047619045,-3.310952363,-2.681428574,-2.126666665,-1.916190481,-3.18142858,-2.41857143,-1.801428586,-1.795714276
2/10/2004,-1.580000007,-1.204782599,-0.952608693,-0.844347826,-1.243478261,-0.960000001,-0.807391304,-0.786956499,-1.077826085,-0.921739146,-0.81782609,-0.767826086,-0.906521742,-0.821739132,-0.794347817,-0.776086949,-0.829999981,-0.790869572,-0.778260868,-0.756086951,-0.894782595,-0.793043485,-0.771304361,-0.738260873,-0.977826097,-0.803478249,-0.739565214,-0.713478263,-1.034782601,-0.83304347,-0.696521728,-0.679130426,-1.117391319,-0.871739132,-0.668695644,-0.681739135
2/11/2004,-1.057500002,-0.673499988,-0.506999988,-0.493999995,-0.937000005,-0.650999993,-0.442499996,-0.31550001,-0.622500011,-0.435999999,-0.336000005,-0.139000011,-0.185499991,-0.113,-0.1455,-0.080500003,-0.05750001,0.028000005,0.002999997,0.020500004,-0.249500007,0.062999998,0.096499999,0.153000008,-0.470500006,-0.013499976,0.095500002,0.118499997,-0.486500004,-0.108000006,0.092000011,0.099000013,-0.434000003,-0.1535,0.048,-0.023499994
2/12/2004,-0.179999986,0.026190477,0.148095222,0.176190489,-0.115238096,0.072857132,0.222380948,0.352857128,0.204285703,0.320952387,0.355714272,0.535714286,0.663333335,0.673333333,0.594285721,0.676190464,0.784761933,0.869523782,0.866666668,0.944285721,0.646190476,0.921904751,1.036666654,1.215714276,0.549523814,0.999999995,1.229523794,1.379523839,0.712380943,1.167619074,1.486666657,1.585238105,0.872380969,1.297142862,1.618095247,1.575238104
2/13/2004,0.011739135,0.216086952,0.285652174,0.263913049,-0.000434797,0.145217398,0.247391292,0.313913048,0.178260872,0.258695653,0.274782604,0.374347813,0.460000017,0.454782605,0.377391306,0.393478262,0.513043482,0.563043495,0.496521737,0.458260865,0.374782608,0.604347818,0.579565206,0.558695653,0.215217392,0.500000002,0.506956518,0.463913035,0.183478256,0.354347828,0.39956523,0.362173917,0.253478263,0.306956524,0.338695653,0.350869578
2/14/2004,-0.804499999,-0.484999992,-0.327500006,-0.312000004,-0.797000001,-0.507499997,-0.269499992,-0.129500006,-0.565000007,-0.332500011,-0.169499994,0.058000003,-0.211500001,-0.073999998,-0.012,0.128499997,-0.099500002,0.028000006,0.1185,0.257500001,-0.271999999,0.025,0.185500006,0.35900001,-0.465499987,-0.038500004,0.142500006,0.23349999,-0.41050001,-0.064999998,0.135500004,0.16300001,-0.283500001,-0.0545,0.102000005,0.0705
2/15/2004,3.700000019,3.369999985,3.159047602,3.101428579,3.520476236,3.285714303,3.051904774,3.172857133,3.777142877,3.413809483,2.893333333,3.034285755,4.291428623,3.74095239,3.056666666,2.949047624,4.255238107,4.159999995,3.671904723,3.31095238,4.141428567,4.429523775,4.123809548,3.917142874,4.14523807,4.434285743,4.320476197,4.195238102,4.311904754,4.420476181,4.395238104,4.375714319,4.638571433,4.498571447,4.339047597,4.263809545
2/16/2004,1.00875,0.886249979,0.793333345,0.760833347,0.957916686,0.842083339,0.726250007,0.673750011,0.930416664,0.792500019,0.635000005,0.54416666,0.922500012,0.765000008,0.59374999,0.496249998,0.870416682,0.81166667,0.655416629,0.497916678,0.851249985,0.870833357,0.714583327,0.551249992,0.819999997,0.797083324,0.652500026,0.525833342,0.767083313,0.651666665,0.514999987,0.44708331,0.795000026,0.598750009,0.439583346,0.469999991
2/17/2004,0.001666661,0.243333334,0.340416665,0.34749999,0.134583331,0.29541666,0.378333321,0.519999991,0.565833332,0.580416648,0.461249997,0.647916662,1.187499993,1.033333335,0.766249996,0.87583332,1.324999998,1.39125,1.343750005,1.463750005,1.184999992,1.514999992,1.706666656,2.005416665,1.155833335,1.606666669,1.882916654,2.072083328,1.553333332,1.890416646,2.112916655,2.216249995,2.046249978,2.212916675,2.318750014,2.35583334
2/18/2004,0.70400001,0.686000004,0.646000013,0.619999989,0.706499989,0.667500005,0.609000001,0.659000006,0.916499992,0.802999994,0.612000021,0.662500008,1.245500038,1.037,0.784500021,0.863000022,1.273499968,1.306499992,1.27299999,1.384499999,1.220500003,1.407000015,1.577999999,1.816000007,1.249500002,1.412500014,1.561500004,1.666,1.460500024,1.525500007,1.559499993,1.586000003,1.756500027,1.718000012,1.689999986,1.8235
2/19/2004,-1.727368416,-1.450526293,-1.294210514,-1.253684219,-1.545263153,-1.344210533,-1.195263147,-1.087894726,-1.242631582,-1.11000001,-1.030526311,-0.882631574,-0.864736838,-0.804736837,-0.774736859,-0.555263161,-0.729473689,-0.598421052,-0.371052628,0.006315787,-0.773157892,-0.595263163,-0.155789471,0.365263155,-0.718421041,-0.471578934,-0.074210526,0.244210529,-0.347894729,-0.096315792,0.146842105,0.286842113,0.018421042,0.242105266,0.422105264,0.527368413
2/20/2004,-1.353478253,-1.122173919,-1.00695653,-0.970000004,-1.173478272,-1.0121739,-0.904782602,-0.836086943,-0.953478264,-0.855217385,-0.798260872,-0.706956514,-0.688260866,-0.644782591,-0.639565223,-0.552608692,-0.590000005,-0.526086947,-0.435217385,-0.270434782,-0.626086955,-0.515652171,-0.321739127,-0.070434777,-0.593478261,-0.392173928,-0.160434778,0.02869565,-0.335652168,-0.111739132,0.086956518,0.195652173,-0.096956513,0.111739132,0.267826081,0.271304347
2/21/2004,1.058571421,1.230952372,1.294285727,1.299047635,1.176190478,1.2842857,1.318571416,1.507619032,1.689047594,1.621428576,1.387142868,1.632857141,2.446666666,2.169999998,1.743809527,1.812857162,2.581428579,2.617619055,2.420952391,2.405238109,2.404285749,2.805714301,2.865714306,3.043333332,2.306190468,2.838571435,3.038095276,3.143333316,2.464761916,2.924285741,3.205238115,3.272857201,2.683809513,3.041904756,3.305238116,3.290952399
2/22/2004,0.075217391,0.361304362,0.480000003,0.495217395,0.265652178,0.433913048,0.527826093,0.566956521,0.492173901,0.568695657,0.591739129,0.640869562,0.766521739,0.771739131,0.732608696,0.797826072,0.851739133,0.909999998,0.970434778,1.108695651,0.79304347,0.936956531,1.108695656,1.339999996,0.793043478,1.037826082,1.258695655,1.430434761,1.009130426,1.271739131,1.486086954,1.584347837,1.209130435,1.458695657,1.65043478,1.659565231
2/23/2004,-0.822857152,-0.3152381,-0.094285728,-0.086666659,-0.732380927,-0.352857141,-0.053809533,0.013809543,-0.580476201,-0.251904769,0.045238098,0.180952384,-0.391904754,-0.111904751,0.122857155,0.266666671,-0.279047619,-0.128095253,0.089047625,0.324285718,-0.405238095,-0.204285717,0.035714294,0.28380953,-0.552857145,-0.194761919,0.056666674,0.221904777,-0.462380945,-0.094285703,0.171428575,0.243333333,-0.380476192,-0.017619032,0.267619052,0.226190481
2/24/2004,0.087272725,0.295454537,0.43772727,0.480909083,0.114545463,0.337727273,0.531363643,0.700454552,0.418181815,0.583181818,0.670909077,0.922272725,0.866363631,0.929090906,0.947727261,1.259545459,0.971818174,1.192727265,1.479545456,1.959545476,0.834999997,1.204999989,1.766818168,2.437727263,0.790454556,1.347272731,1.924999983,2.352727299,1.075000013,1.727727284,2.270000005,2.472272762,1.277272731,1.997272753,2.569545461,2.621818207
