Date,Average of vwind0,Average of vwind1,Average of vwind2,Average of vwind3,Average of vwind4,Average of vwind5,Average of vwind6,Average of vwind7,Average of vwind8,Average of vwind9,Average of vwind10,Average of vwind11,Average of vwind12,Average of vwind13,Average of vwind14,Average of vwind15,Average of vwind16,Average of vwind17,Average of vwind18,Average of vwind19,Average of vwind20,Average of vwind21,Average of vwind22,Average of vwind23,Average of vwind24,Average of vwind25,Average of vwind26,Average of vwind27,Average of vwind28,Average of vwind29,Average of vwind30,Average of vwind31,Average of vwind32,Average of vwind33,Average of vwind34,Average of vwind35
1/11/2004,-7.562173843,-7.237826181,-6.942173885,-6.801739133,-7.213478296,-6.929999973,-6.663913074,-6.532173903,-6.975217322,-6.662608717,-6.308260866,-6.120869564,-6.799130429,-6.443043501,-6.074347786,-5.877391318,-6.614782551,-6.49826085,-6.170434744,-5.836086957,-6.658260884,-6.616956545,-6.279130417,-5.913913094,-6.716086927,-6.461304364,-6.099565278,-5.809565244,-6.558260897,-6.141304327,-5.750434772,-5.590434759,-6.545652161,-5.996086919,-5.567826116,-5.613043453
1/12/2004,-3.099523805,-3.1757143,-3.132857118,-3.065714291,-2.96714286,-3.001428559,-3.000952391,-2.945238113,-2.874761933,-2.870952368,-2.837142854,-2.781428576,-2.819047633,-2.776666675,-2.713809513,-2.661428576,-2.767142841,-2.764285712,-2.689999989,-2.603809527,-2.698095242,-2.78095238,-2.686666659,-2.567142873,-2.583333328,-2.658571431,-2.557142871,-2.447619064,-2.464285714,-2.4490476,-2.371904719,-2.297142875,-2.425714294,-2.355714298,-2.310952363,-2.349047604
1/13/2004,-2.461999986,-2.469499975,-2.431499994,-2.394499993,-2.380500007,-2.379499984,-2.367500013,-2.3065,-2.315000004,-2.305999994,-2.29199999,-2.206999999,-2.255499995,-2.24000001,-2.206999999,-2.104500008,-2.225500017,-2.192000005,-2.090000004,-1.939500016,-2.196500012,-2.20249998,-2.032500005,-1.838499999,-2.137499985,-2.150500011,-2.02250002,-1.910000002,-2.071499984,-2.035000002,-1.962999988,-1.917999992,-2.050499992,-1.967499977,-1.898000008,-1.876999992
1/14/2004,-2.749523837,-2.646190435,-2.530952416,-2.459523802,-2.5814286,-2.472380958,-2.38000001,-2.239523815,-2.391428574,-2.30571429,-2.241428553,-2.035238104,-2.176190493,-2.119047626,-2.069047609,-1.897142843,-2.082380946,-2.015714288,-1.873333336,-1.655238097,-2.121428585,-2.023809529,-1.773333322,-1.460952378,-2.11809523,-1.874761901,-1.5747619,-1.337142866,-1.937619051,-1.580952378,-1.259523801,-1.121428568,-1.858571423,-1.40333333,-1.037619042,-1.049523807
1/15/2004,-2.164210552,-1.92631581,-1.749999997,-1.680526322,-2.037894745,-1.808947356,-1.592631572,-1.504736838,-2.041578933,-1.769473684,-1.446315787,-1.275789471,-2.11999997,-1.792631592,-1.380526304,-1.019473681,-2.029473681,-1.849999996,-1.300526324,-0.659473684,-1.981578962,-2.010526318,-1.332631553,-0.604210527,-1.888947361,-1.786842123,-1.218947373,-0.733684202,-1.62578947,-1.275263164,-0.844210525,-0.624736835,-1.578421059,-0.979473689,-0.478421052,-0.412631586
1/16/2004,-1.617727296,-1.609545444,-1.574545463,-1.557272731,-1.638181834,-1.592272721,-1.540909085,-1.440909101,-1.535000018,-1.502272724,-1.49954545,-1.342272721,-1.366818184,-1.374090899,-1.40318182,-1.289090907,-1.333636368,-1.278181814,-1.231363659,-1.127727271,-1.447727273,-1.26227272,-1.132727269,-0.983181817,-1.588636353,-1.300454527,-1.155909089,-1.081818175,-1.616818168,-1.335454552,-1.154999998,-1.133181812,-1.639545463,-1.354090902,-1.125000009,-1.109090911
1/17/2004,1.192727157,0.934545344,0.814545332,0.81227261,1.194545338,0.980909048,0.790908973,0.795908991,1.25318172,1.011363522,0.743636274,0.715454449,1.349090799,1.081363522,0.778181725,0.62181808,1.295908966,1.189545343,0.885908994,0.580454429,1.302727153,1.304999926,0.999090774,0.698636224,1.330908991,1.254090813,1.014999906,0.820908998,1.264545327,1.098181741,0.915908969,0.840454473,1.278181732,1.017727153,0.798636251,0.766818062
1/18/2004,4.385909061,4.120454552,3.905454516,3.796818199,4.096818183,3.872727256,3.662727267,3.574090921,3.967272726,3.710909123,3.405000031,3.269545473,3.920909084,3.609545407,3.255454527,3.046363625,3.786818172,3.673636385,3.304545496,2.907727284,3.815454569,3.7990909,3.390000006,2.967272756,3.891363626,3.710909096,3.352727278,3.069090908,3.892727256,3.520000057,3.155454584,3.030454527,4.061363664,3.487727271,3.0181818,2.989545437
1/19/2004,-0.58842106,-0.325789457,-0.219473691,-0.251578946,-0.723157878,-0.487368433,-0.267894742,-0.155789475,-0.668947345,-0.436842106,-0.235263154,-0.021052632,-0.537894716,-0.350526322,-0.171578941,0.108947361,-0.466842089,-0.305789485,-0.014736842,0.35736842,-0.546842122,-0.369999996,0.037894737,0.466842108,-0.617894749,-0.361052609,-0.03421052,0.204736848,-0.480000014,-0.211578945,0.012105269,0.087368412,-0.348947363,-0.078947383,0.14052631,0.204736844
1/20/2004,-5.134499955,-4.666000009,-4.357500017,-4.268000042,-4.93150003,-4.529499972,-4.174500048,-4.048000038,-4.795500028,-4.382500017,-3.947000003,-3.714499986,-4.697499967,-4.265499997,-3.795500016,-3.404999971,-4.537499976,-4.300999963,-3.72099998,-3.047999996,-4.639499998,-4.471500003,-3.759500039,-2.999000025,-4.759000015,-4.302000022,-3.645999992,-3.139999986,-4.550999999,-3.87650001,-3.259499997,-3.030500001,-4.537000048,-3.647500002,-2.924000007,-2.876999986
1/21/2004,-2.765263153,-2.801052627,-2.767368408,-2.718421058,-2.619473693,-2.655263157,-2.697894752,-2.586315789,-2.394736851,-2.481052614,-2.612105247,-2.475263158,-2.111052638,-2.251578951,-2.421578932,-2.34421052,-2.048421059,-2.051578966,-2.090526299,-2.033684206,-2.051052624,-1.978421079,-1.880526316,-1.725263184,-1.982631599,-1.916842105,-1.80947367,-1.717894738,-1.807368441,-1.763157887,-1.714736828,-1.667368443,-1.610000015,-1.630526308,-1.668421055,-1.661578949
1/22/2004,-3.498947369,-3.372105278,-3.255263165,-3.203157883,-3.386315798,-3.268947369,-3.157894737,-3.085789505,-3.349473677,-3.212631558,-3.05052633,-2.930000017,-3.34789475,-3.18578946,-2.97526315,-2.739999997,-3.281578917,-3.183684224,-2.862105275,-2.468421051,-3.242105277,-3.262105264,-2.838421056,-2.376315794,-3.157368409,-3.117894744,-2.772631589,-2.471052628,-2.953157889,-2.782105245,-2.549473706,-2.414736823,-2.865789482,-2.579999993,-2.345789476,-2.294210547
1/23/2004,-4.990434802,-4.673913085,-4.419999983,-4.324347828,-4.831739135,-4.526521724,-4.230000071,-4.108695611,-4.84086951,-4.471739116,-4.033478281,-3.80086961,-4.946521738,-4.504347832,-3.971739116,-3.566956499,-4.833478306,-4.627826079,-4.016087003,-3.349130402,-4.860434771,-4.829130411,-4.136086961,-3.396521745,-4.896956537,-4.583913036,-3.934782567,-3.404782627,-4.693478284,-4.066956551,-3.436087017,-3.176086939,-4.763478248,-3.828260909,-3.062173931,-3.039130444
1/24/2004,-1.932916653,-1.945416658,-1.902083332,-1.850416681,-1.794999992,-1.797500005,-1.803333329,-1.717916659,-1.656250009,-1.682916667,-1.727083334,-1.611250004,-1.499583328,-1.546250001,-1.592083324,-1.486250003,-1.443333317,-1.422916674,-1.342083331,-1.175416671,-1.419166681,-1.401666653,-1.2,-0.929583335,-1.317916652,-1.237499991,-1.006250009,-0.802500016,-1.081249981,-0.914583338,-0.719583335,-0.598750013,-0.925416655,-0.696666664,-0.515833326,-0.529999994
1/25/2004,3.535454566,3.055454547,2.800909092,2.784090916,3.583636323,3.155909084,2.759545474,2.734999997,3.681363593,3.191818182,2.650454543,2.539545452,3.834545461,3.295454529,2.706363622,2.410000002,3.746363624,3.519090929,2.974999991,2.445909083,3.854090872,3.739545465,3.219545429,2.71999998,4.033636369,3.689090897,3.243181836,2.91181819,3.929545462,3.466818176,3.061363659,2.925454552,3.92863635,3.345454557,2.875000022,2.825909111
1/26/2004,5.620952402,5.170952343,4.884761912,4.826190494,5.570476214,5.154285726,4.755238079,4.704761914,5.596666688,5.100476208,4.535238118,4.406190475,5.696666672,5.131428548,4.508095253,4.208095244,5.56428571,5.346666677,4.78142853,4.233809528,5.64285712,5.574285689,5.03428575,4.505714326,5.78476186,5.471428531,4.994285742,4.621904771,5.644761903,5.165714287,4.72428575,4.560476201,5.646666674,5.011428595,4.491904747,4.442857129
1/27/2004,2.305454492,2.478181823,2.503636385,2.443636304,2.153636353,2.289545466,2.382727263,2.445909124,2.224090914,2.292272741,2.283181822,2.410000032,2.420454563,2.387727263,2.303636356,2.424090892,2.432727272,2.516818166,2.546818197,2.654090965,2.325454524,2.55090908,2.691363649,2.853636368,2.244090913,2.490000001,2.60863639,2.667272721,2.354090865,2.485454559,2.535454517,2.534545446,2.567272715,2.561363667,2.543181812,2.598181809
1/28/2004,-6.782999921,-6.182000017,-5.777500057,-5.650999999,-6.537499976,-5.999500036,-5.505500031,-5.357500029,-6.483000016,-5.881999969,-5.206499982,-4.914499962,-6.5375,-5.862000024,-5.096499991,-4.567500043,-6.346000004,-6.036999941,-5.203000057,-4.304499972,-6.44550004,-6.320499992,-5.394499958,-4.439500004,-6.615499997,-6.129999995,-5.311500025,-4.67299993,-6.470499992,-5.647999978,-4.867999983,-4.588000011,-6.621499932,-5.438,-4.459500027,-4.395000005
1/29/2004,-1.553809509,-1.651904753,-1.648095257,-1.606666681,-1.450476202,-1.524285705,-1.582857153,-1.514761903,-1.288095238,-1.380000015,-1.498571427,-1.430952398,-1.088571443,-1.206666675,-1.356190494,-1.381428584,-1.05190476,-1.087619046,-1.201428543,-1.28523809,-1.048095239,-1.021428585,-1.089523822,-1.127619046,-1.00999999,-0.986190495,-1.005238104,-1.017619045,-0.963809541,-0.948571439,-0.941904763,-0.930952376,-0.913333352,-0.931904766,-0.963809516,-1.00142856
1/30/2004,-0.575238079,-0.535238108,-0.555714294,-0.632380954,-0.791904769,-0.778571428,-0.750000005,-0.822857136,-0.877619053,-0.836190474,-0.789523801,-0.892857171,-0.938571449,-0.893809515,-0.860952375,-0.939047612,-0.950952405,-0.964285706,-1.014285706,-1.118571419,-0.906666677,-0.97666668,-1.10285715,-1.249523797,-0.831428583,-0.961428577,-1.077619044,-1.149999984,-0.724285709,-0.922380963,-1.077619047,-1.099047632,-0.556190478,-0.848095254,-1.093333331,-1.07571427
1/31/2004,-4.148260853,-4.094782601,-3.989565227,-3.913043447,-3.934782588,-3.88956525,-3.848260952,-3.750869564,-3.620869574,-3.607826119,-3.630000011,-3.532608675,-3.251304362,-3.281739111,-3.3552174,-3.331739141,-3.114347841,-3.110000004,-3.109565191,-3.0373913,-3.099130434,-3.062608688,-2.956086978,-2.77173913,-2.975217405,-2.853913038,-2.656956538,-2.476086964,-2.651739126,-2.469130441,-2.275652175,-2.139565216,-2.384782592,-2.203478233,-2.081304342,-2.126956528
2/1/2004,1.804090908,1.49863636,1.326818181,1.290000002,1.707272733,1.450454539,1.229545469,1.250454534,1.653181817,1.383181826,1.091363644,1.110454561,1.623181827,1.338181855,1.030454551,0.917272727,1.480000014,1.400909108,1.080000001,0.735909087,1.271818179,1.514090915,1.159090908,0.720000008,0.854090911,1.039090884,0.647272709,0.222272718,0.131818188,0.112272704,-0.111363655,-0.39727274,-0.412272738,-0.527727287,-0.606818183,-0.575000023
2/2/2004,-1.628999978,-1.579500017,-1.527000009,-1.506,-1.610500014,-1.542999989,-1.480000007,-1.401500005,-1.47749999,-1.4325,-1.418000005,-1.300499985,-1.282999999,-1.279499991,-1.311000006,-1.243499993,-1.233000009,-1.199499993,-1.203999998,-1.179999994,-1.322500003,-1.175999986,-1.136999996,-1.091999986,-1.428999992,-1.235499999,-1.191500004,-1.184999993,-1.422999999,-1.300000005,-1.252500017,-1.264500006,-1.357499996,-1.31800002,-1.299499993,-1.259499988
2/3/2004,-1.175454541,-1.274545445,-1.275454542,-1.24363636,-1.171818179,-1.221818193,-1.239545439,-1.269545448,-1.305909074,-1.29409092,-1.225454549,-1.26727272,-1.521818206,-1.440454549,-1.307272739,-1.310454558,-1.555000018,-1.567727269,-1.496363634,-1.474090915,-1.521363654,-1.626363629,-1.623636381,-1.639090921,-1.514090888,-1.583181815,-1.578181805,-1.559545448,-1.550909105,-1.541818189,-1.503636357,-1.481818188,-1.658636372,-1.558181811,-1.468181828,-1.471818188
2/4/2004,-1.297826086,-1.220434777,-1.174347831,-1.156956529,-1.244347819,-1.17956522,-1.137826075,-1.078260853,-1.121739124,-1.095652169,-1.104782601,-1.018695667,-0.949130442,-0.967391299,-1.030869547,-1.029130428,-0.911304362,-0.905217383,-0.978695655,-1.046086953,-1.044347812,-0.871304351,-0.934782603,-0.999565204,-1.253913029,-0.966086964,-0.967391316,-1.020000008,-1.447826077,-1.171739138,-1.033478252,-1.062608693,-1.629130429,-1.332608723,-1.090869572,-1.090869578
2/5/2004,2.5405,2.28150002,2.117999969,2.095499983,2.525999986,2.300000002,2.067499996,2.089999992,2.690999983,2.370000019,1.95800002,1.940999994,2.982999983,2.558000013,2.036000005,1.816000008,2.9325,2.7995,2.325500008,1.880999998,2.833999991,3.004000013,2.573000012,2.169499977,2.73699998,2.884999987,2.601999978,2.329499997,2.575999979,2.576500017,2.452500043,2.345499996,2.543500021,2.408999984,2.291499999,2.256999989
2/6/2004,5.140434815,4.665217374,4.366956498,4.306086929,5.057391307,4.645217403,4.240869589,4.214347819,5.213043503,4.680869574,4.030434759,3.92130434,5.529130448,4.865217375,4.100869588,3.779130423,5.429130471,5.216521709,4.575217413,4.001739118,5.462173877,5.509130457,4.963913068,4.490869574,5.626086981,5.519130448,5.148695687,4.863043495,5.692173916,5.421739101,5.136086941,5.053913034,5.900869535,5.428260845,5.022173902,4.935217422
2/7/2004,-1.455454577,-0.838636412,-0.570454528,-0.60227274,-1.620454595,-1.087272718,-0.616363615,-0.581363635,-1.733181802,-1.168636355,-0.582272753,-0.42954546,-1.848181776,-1.276363648,-0.657272737,-0.216363648,-1.750909036,-1.442272739,-0.748636355,1.35E-09,-1.888181816,-1.680909078,-0.909545468,-0.140000029,-2.092272745,-1.633636339,-1.002727292,-0.532727307,-1.968181865,-1.362727296,-0.829090928,-0.659545415,-1.975000056,-1.189545428,-0.530454588,-0.388636372
2/8/2004,-6.967619056,-6.522380999,-6.178571395,-6.039047673,-6.647619088,-6.256190493,-5.891904706,-5.750952323,-6.457142875,-6.027142831,-5.549047663,-5.316190447,-6.337142854,-5.859047595,-5.330476216,-4.95619045,-6.141428618,-5.916190488,-5.318095196,-4.645714362,-6.203333344,-6.1014286,-5.398571469,-4.649047602,-6.276190474,-5.900000016,-5.252380916,-4.735714288,-6.051904752,-5.427142864,-4.824285723,-4.581428522,-6.048095266,-5.183333272,-4.483333344,-4.463809513
2/9/2004,-1.907142856,-1.927619046,-1.895714274,-1.862857152,-1.855238086,-1.85952382,-1.848571442,-1.867619038,-1.854761917,-1.832380962,-1.782380947,-1.821904761,-1.890000014,-1.836190479,-1.758095242,-1.744285714,-1.864761886,-1.866666675,-1.794761896,-1.726190476,-1.787142867,-1.893809546,-1.82761903,-1.747619033,-1.666666667,-1.780000005,-1.716666659,-1.6295238,-1.537619034,-1.582380945,-1.553809538,-1.493333317,-1.47190476,-1.468571436,-1.469047612,-1.456190473
2/10/2004,-1.344782603,-1.187826084,-1.069565231,-1.021739142,-1.244347832,-1.110869575,-1.015217389,-0.964782607,-1.216086946,-1.113913042,-1.014782606,-0.913913035,-1.200000019,-1.107391309,-1.010869545,-0.865217387,-1.185217379,-1.106086948,-0.96391304,-0.78956522,-1.25086955,-1.139565209,-0.954347833,-0.765652176,-1.346086965,-1.169130421,-1.014782612,-0.913478258,-1.388260863,-1.180434795,-1.022608686,-0.996086952,-1.459999999,-1.206086938,-0.997391311,-0.958695643
2/11/2004,1.319500006,1.197999997,1.152499989,1.148499999,1.217000006,1.171999997,1.135999993,1.214500013,1.338500004,1.256000014,1.110999996,1.216000006,1.577500001,1.419000005,1.197499992,1.194500009,1.570999992,1.573500025,1.402500015,1.275999981,1.359500004,1.664500011,1.554999994,1.442000007,1.055500002,1.446000009,1.383000005,1.24649999,0.796500006,1.057000003,1.116500002,1.016999983,0.652999997,0.822000017,0.956499994,0.981500006
2/12/2004,2.524761884,2.336190483,2.220476184,2.184285706,2.40952377,2.273809532,2.156666665,2.203333324,2.528095235,2.349523834,2.103809542,2.146666675,2.769047622,2.510000017,2.19857143,2.167619045,2.749523789,2.71952377,2.525238088,2.407142846,2.707142836,2.841428599,2.755714297,2.694761889,2.700952377,2.753333346,2.667619072,2.577142859,2.705238064,2.623333329,2.498571414,2.43666666,2.828095246,2.615238095,2.443809524,2.498571444
2/13/2004,0.513478271,0.402173913,0.356956528,0.364347815,0.522608704,0.436521736,0.361739136,0.369565222,0.49173912,0.404782609,0.317391299,0.328695662,0.453043482,0.370869554,0.277391312,0.198695649,0.418260872,0.354782592,0.203478266,0.01565217,0.372173921,0.387826088,0.182173898,-0.056521745,0.242608689,0.259130443,0.081304348,-0.092608697,-0.079999999,-0.065217385,-0.109130438,-0.201304347,-0.402173912,-0.338260868,-0.276521741,-0.310869563
2/14/2004,3.152000017,2.84499999,2.67,2.620999993,3.019000021,2.784999981,2.564000025,2.653999995,3.275500017,2.943500009,2.483999984,2.565999994,3.743000028,3.261499991,2.67399999,2.579500008,3.706000014,3.643499966,3.239000024,2.958499998,3.571000006,3.875500001,3.647499959,3.470499997,3.473499962,3.716500061,3.562000009,3.378499974,3.389500019,3.426999981,3.321999991,3.216000016,3.486999974,3.319500009,3.170500007,3.19050003
2/15/2004,1.245238076,1.675238121,1.809999997,1.718095217,0.911904758,1.294285703,1.63857146,1.685238095,0.820952347,1.212380962,1.57714288,1.733809549,0.819999981,1.161904752,1.508095245,1.837619044,0.876190495,1.107619034,1.543333327,2.043333345,0.749523787,0.976190448,1.50095238,2.02285714,0.599999964,0.942380971,1.340952359,1.623809536,0.734761943,1.067619043,1.333333328,1.412380952,0.875714288,1.213809533,1.49619049,1.619999986
2/16/2004,-3.627500022,-3.621666695,-3.513333331,-3.399583365,-3.325000053,-3.307916691,-3.28791666,-3.187083314,-3.143333331,-3.126249994,-3.092499991,-2.965000014,-3.00750002,-2.967916648,-2.892499978,-2.732500007,-2.927083337,-2.872083326,-2.668333327,-2.370416669,-2.912916683,-2.894166684,-2.559583325,-2.155416702,-2.857916671,-2.722916706,-2.382500009,-2.095416654,-2.714583335,-2.398750008,-2.065833338,-1.914166663,-2.730416659,-2.245833345,-1.852500019,-1.862500013
2/17/2004,-4.329999958,-4.062916661,-3.87166666,-3.817083339,-4.27291662,-4.007499978,-3.759583364,-3.620416681,-4.122916679,-3.854166657,-3.599166652,-3.364583338,-3.930416678,-3.687499955,-3.421666682,-3.05916671,-3.814583356,-3.60041666,-3.144166688,-2.550416678,-3.952499971,-3.691666673,-3.039583345,-2.306666672,-4.076666668,-3.529166659,-2.889166695,-2.405000016,-3.813749994,-3.106250003,-2.493750001,-2.271666678,-3.694583322,-2.832916675,-2.134166646,-2.060833334
2/18/2004,-7.625500059,-7.147499943,-6.776499987,-6.627999997,-7.292500019,-6.865999985,-6.468500018,-6.279500031,-7.105500007,-6.639500022,-6.121000028,-5.800500023,-6.998499966,-6.480999994,-5.88299998,-5.354000044,-6.79350009,-6.507999992,-5.740499949,-4.839999986,-6.867000008,-6.723000002,-5.768000007,-4.744000018,-6.95849998,-6.505000043,-5.663500023,-4.996999967,-6.752499962,-5.969499969,-5.206499934,-4.914999986,-6.834499979,-5.719000053,-4.804000056,-4.758000004
2/19/2004,-3.555263927,-3.411579727,-3.231579693,-3.118948163,-3.272632345,-3.140527101,-3.018421791,-2.902632396,-3.05947445,-2.924211279,-2.775790216,-2.617369191,-2.87684287,-2.726316584,-2.554211287,-2.347895522,-2.750527086,-2.656316581,-2.380527074,-2.020527059,-2.725263929,-2.711053376,-2.31421128,-1.845263909,-2.63210603,-2.479474459,-2.074211291,-1.724211275,-2.368421842,-2.026316537,-1.653158682,-1.460000772,-2.27473758,-1.768421836,-1.362632338,-1.376842893
2/20/2004,1.112608699,0.803913039,0.654782607,0.656956524,1.178260873,0.911304352,0.655652184,0.713043474,1.433913051,1.08,0.640000006,0.656086947,1.812173903,1.359565214,0.829565237,0.675652182,1.807391298,1.67347826,1.266956526,0.943478257,1.818260864,1.883478261,1.59695653,1.363043471,1.913043483,1.855217375,1.64478262,1.474782606,1.928695642,1.750869578,1.561304338,1.493913042,2.049565243,1.737826058,1.475217392,1.468695644
2/21/2004,1.854285729,1.537619041,1.381428577,1.373333331,1.85857142,1.589999977,1.361904779,1.32095237,1.772857154,1.516666656,1.278571432,1.192857145,1.649047617,1.421428575,1.21761905,1.080952393,1.569523814,1.438095216,1.23095238,1.005714281,1.711428584,1.504761897,1.270476204,1.040476192,1.912857133,1.554761916,1.33095238,1.199523813,1.930476174,1.56999998,1.322380952,1.279523797,1.952380947,1.572380949,1.262857141,1.217619054
2/22/2004,-1.053913036,-1.086956524,-1.071739124,-1.039130419,-0.994782606,-1.003478263,-1.013478249,-0.967826094,-0.950000001,-0.968695647,-0.995217391,-0.927391294,-0.897826082,-0.925652175,-0.960869566,-0.949130436,-0.886086961,-0.898695643,-0.930000001,-0.955652188,-0.922173912,-0.882608696,-0.906521739,-0.917826081,-0.969565221,-0.870434786,-0.851304346,-0.845217389,-0.976521737,-0.865652175,-0.793913046,-0.779565225,-0.992608688,-0.862608684,-0.754347825,-0.761739135
2/23/2004,0.706666655,0.699523779,0.723333336,0.738571425,0.721428575,0.732380957,0.741428576,0.790952384,0.867142844,0.850476176,0.795238098,0.853333345,1.084761909,1.018571448,0.895714286,0.840476188,1.127619039,1.097619055,0.938095262,0.774761926,1.053809526,1.155238113,0.988571454,0.808095265,0.938571416,1.033333329,0.900476187,0.755714309,0.754761924,0.778571437,0.725714307,0.648571452,0.630476176,0.618571421,0.615714272,0.644285703
